slug,title,author,isbn,status,first_published,date_updated,notes
ghost-fleet,Ghost Fleet,P.W. Singer & August Cole,,read,,,
ghost-in-the-wires-2,Ghost in the Wires,Kevin Mitnick,9780316134477,read,2011,,
ghost-soldiers,Ghost Soldiers,Hampton Sides,,read,,,
ghost-stories,Ghost Stories,Algernon Blackwood,9781641529075,read,2019,,
ghost-summer,Ghost Summer,Tananarive Due,160701453X,want,2015,,
ghosts,Ghosts,Henrik Ibsen,,read,1965,,
ghosts-2,Ghosts,César Aira,9780811217422,want,2008,,
gideon-the-ninth,Gideon the Ninth,Tamsyn Muir,9781250313171,want,2019,,
gil-blas,Gil Blas,Alain René Le Sage,,read,1797,,
gilead,Gilead,Marilynne Robinson,9780312939380,read,2004,,
giovannis-room,Giovanni's Room,James Baldwin,,read,1956,,
gitanjali,Gitanjali,Rabindranath Tagore,,read,1910,,
glass-irony-and-god,"Glass, Irony and God",Anne Carson,0811213021,read,1995,,
glasshouse,Glasshouse,Charles Stross,9781101208595,read,2006,,
global-environmental-politics,Global Environmental Politics,Hayley Stevenson,9781107121836,read,2018,,
gloriana,Gloriana,Michael Moorcock,,read,1978,,
go-down-moses,"Go Down, Moses",William Faulkner,,read,1940,,
go-tell-it-on-the-mountain,Go Tell It on the Mountain,James Baldwin,,read,1952,,
god-emperor-of-dune,God Emperor of Dune,Frank Herbert,0441016316,read,1981,,
godaan,Godaan,Premchand,,read,1999,,
godel-escher-bach,Godel Escher Bach,Douglas Hofstadter,0465026567,read,1979,,
gods-of-risk,Gods of Risk,James S.A. Corey,9780316217651,read,2012,,
going-postal,Going Postal,Terry Pratchett,9780060502935,read,2004,,
golden-fool,Golden Fool,Robin Hobb,9780553582451,read,2002,,
gone-girl,Gone Girl,Gillian Flynn,9780307588371,want,2011,,
gone-with-the-wind,Gone with the Wind,Margaret Mitchell,,read,1936,,
good-economics-for-hard-times,Good Economics for Hard Times,Esther Duflo and Abhijit V. Banerjee,9781541762879,read,2019,,
good-omens,Good Omens,Terry Pratchett & Neil Gaiman,,read,,,
gorgias,Gorgias,Plato,9780192656216,want,2018,,
gormenghast-2,Gormenghast,Mervyn Peake,9781468301045,read,1950,,
governing-the-commons,Governing the Commons,Elinor Ostrom,9781316453926,read,2015,,
gravity-and-grace,Gravity and Grace,Simone Weil,0415290015,read,1952,,
gravitys-rainbow,Gravitys Rainbow,Thomas Pynchon,,read,1973,,
gravitys-rainbow-2,Gravity's Rainbow,Thomas Pynchon,,read,1973,,
gray-hat-c,Gray Hat C#,Brandon Perry,9781593278311,read,2017,,
great-expectations,Great Expectations,Charles Dickens,,read,1861,,
green-forest-stories,Green Forest Stories,Thornton W. Burgess,9791041801565,read,2023,,
green-mars,Green Mars,Kim Stanley Robinson,9780553898286,read,1993,,
green-meadow-stories,Green Meadow Stories,Thornton W. Burgess,9791041801572,read,2023,,
greene-ferne-farm,Greene Ferne Farm,Richard Jefferies,1981508198,read,2017,,
greenmantle,Greenmantle,John Buchan,1014476720,read,2021,,
grimscribe,Grimscribe,Thomas Ligotti,1596064099,want,2015,,
groundwork-of-the-metaphysics-of-morals-2,Groundwork of the Metaphysics of Morals,Immanuel Kant,9780300128154,read,1964,,
growth-of-the-soil,Growth of the Soil,Knut Hamsun,9781406838237,read,2007,,
gua-viva,Água Viva,Clarice Lispector,9789500533157,read,1973,,
guards-guards,Guards! Guards!,Terry Pratchett,9781407034690,read,1989,,
guide-for-the-perplexed,Guide for the Perplexed,Maimonides,,read,1951,,
gulag,Gulag,Anne Applebaum,9780307426123,read,2003,,
gullivers-travels,Gulliver's Travels,Jonathan Swift,9780141439495,read,1726,,
guns-germs-and-steel,Guns Germs and Steel,Jared Diamond,9780393069228,read,1997,,
gypsy-ballads,Gypsy Ballads,Federico García Lorca,1542582830,read,1953,,
hacking-the-art-of-exploitation-2nd-edition,"Hacking: The Art of Exploitation, 2nd Edition",J. Erickson,,read,2018,,
hadji-mur-d,Hadji Murád,Leo Tolstoy,9781350511972,read,2025,,
hadji-murad,Hadji Murad,Leo Tolstoy,9780307757425,read,1912,,
hadoop-the-definitive-guide,Hadoop: The Definitive Guide,Tom White,9781449311520,read,2012,,
hadrian-the-seventh,Hadrian the Seventh,Frederick William Rolfe,,read,1905,,
half-of-a-yellow-sun,Half of a Yellow Sun,Chimamanda Ngozi Adichie,9780307373540,want,2006,,
halting-state,Halting State,Charles Stross,,read,,,
hamlet,Hamlet,William Shakespeare,9781439117026,read,1603,,
han-feizi,Han Feizi,Han Fei,9780231129695,read,1811,,
handbook-of-applied-cryptography,Handbook of Applied Cryptography,"Menezes, van Oorschot, Vanstone",9781439821916,read,1996,,
hard-boiled-wonderland-and-the-end-of-the-world,Hard-Boiled Wonderland and the End of the World,Haruki Murakami,9780307781093,want,2024,,
hard-times,Hard Times,Charles Dickens,9781772751253,read,1854,,
hard-to-be-a-god,Hard to Be a God,Arkady and Boris Strugatsky,9781613748299,want,2014,,
harding-s-luck,Harding's Luck,E. Nesbit,,read,2022,,
hardwired,Hardwired,Walter Jon Williams,9780983740841,read,1986,,
harmonium,Harmonium,Wallace Stevens,,read,1923,,
harrow-the-ninth,Harrow the Ninth,Tamsyn Muir,9781250774385,want,2020,,
harry-heathcote-of-gangoil,Harry Heathcote of Gangoil,Anthony Trollope,9781609779597,read,2014,,
hayy-ibn-yaqzan,Hayy ibn Yaqzan,Ibn Tufail,9780226307763,read,1711,,
he-knew-he-was-right,He Knew He Was Right,Anthony Trollope,,read,1978,,
he-she-and-it,"He, She and It",Marge Piercy,9780449220603,read,1991,,
head-first-data-analysis,Head First Data Analysis,Michael Milton,9781449392024,read,2009,,
head-first-design-patterns,Head First Design Patterns,Kathy Sierra and Bert Bates,9780596007126,read,2004,,
heart-of-a-dog,Heart of a Dog,Mikhail Bulgakov,9786558945512,want,2021,,
heart-of-darkness,Heart of Darkness,Joseph Conrad,,read,1899,,
heartbreak-house,Heartbreak House,George Bernard Shaw,9783986471934,read,1919,,
heaven-and-hell,Heaven and Hell,Jón Kalman Stefánsson,9781771966528,want,2025,,
hedda-gabler,Hedda Gabler,Henrik Ibsen,,read,1890,,
heidi,Heidi,Johanna Spyri,3505077313,read,1977,,
heir-to-the-empire,Heir to the Empire,Timothy Zahn,,read,1991,,
helen,Helen,Euripides,,read,1837,,
hell-house,Hell House,Richard Matheson,9781429913645,read,1971,,
hell-s-angels,Hell's Angels,Hunter S. Thompson,,read,,,
hellenica,Hellenica,Xenophon,,read,1700,,
helliconia-spring,Helliconia Spring,Brian Aldiss,9781497608290,read,1982,,
helliconia-summer,Helliconia Summer,Brian Aldiss,9781497608320,read,1983,,
helliconia-winter,Helliconia Winter,Brian Aldiss,9781497608351,read,1985,,
helmet-for-my-pillow,Helmet for My Pillow,Robert Leckie,,read,,,
henry-iv,Henry IV,Luigi Pirandello,0802141943,read,1957,,
henry-iv-part-1,"Henry IV, Part 1",William Shakespeare,,read,1598,,
henry-iv-part-2,"Henry IV, Part 2",William Shakespeare,9781451644470,read,1600,,
henry-v,Henry V,William Shakespeare,9783985945023,read,1600,,
her-smoke-rose-up-forever,Her Smoke Rose Up Forever,James Tiptree Jr.,0739455125,read,1990,,
heracles,Heracles,Euripides,,read,1876,,
heretics,Heretics,Gilbert Keith Chesterton,9781476633299,read,2018,,
heretics-of-dune,Heretics of Dune,Frank Herbert,,read,1984,,
heroides,Heroides,Ovid,9780140423556,read,1502,,
herzog,Herzog,Saul Bellow,9780141975030,read,1961,,
hester,Hester,Margaret Oliphant,,read,1884,,
hidden-order,Hidden Order,John H. Holland,,read,1995,,
high-performance-images,High Performance Images,"Colin Bendell, Tim Kadlec, Yoav Weiss, Guy Podjarny, Nick Doyle, Mike McCall",9781491926659,read,2016,,
high-rise,High-Rise,J.G. Ballard,9780871404022,want,2012,,
hippolytus,Hippolytus,Euripides,9789081709156,read,1756,,
his-family,His Family,Ernest Poole,,read,1917,,
his-last-bow,His Last Bow,Arthur Conan Doyle,9788726605594,read,2021,,
his-masterpiece,His Masterpiece,Emile Zola,9798737192044,read,2021,,
his-masters-voice,His Master's Voice,Stanisław Lem,9780262357647,want,2018,,
histories,Histories,Tacitus,,read,1864,,
histories-2,Histories,Herodotus,9781624661150,read,1494,,
history-of-animals,History of Animals,Aristotle,,read,1476,,
history-of-sexuality-volume-1,"History of Sexuality, Volume 1",Michel Foucault,9780679724698,want,,,
history-of-the-peloponnesian-war,History of the Peloponnesian War,Thucydides,,read,1526,,
hobbit,Hobbit,J.R.R. Tolkien,9780544115552,read,1937,,
holy-fire,Holy Fire,Bruce Sterling,9780307796776,want,2011,,
holy-sonnets,Holy Sonnets,John Donne,9781502773388,read,1938,,
homage-to-catalonia,Homage to Catalonia,George Orwell,,read,1938,,
home,Home,Marilynne Robinson,9780374299101,want,2008,,
home-of-the-gentry,Home of the Gentry,Ivan Turgenev,9780141935836,want,2018,,
homegoing,Homegoing,Yaa Gyasi,9781101947142,want,2016,,
homeland,Homeland,R.A. Salvatore,,read,1990,,
homeric-hymns,Homeric Hymns,Homer,9780521451581,read,1806,,
homo-deus,Homo Deus,Yuval Noah Harari,,want,2017,,
homo-ludens,Homo Ludens,Johan Huizinga,0807046817,read,1938,,
honeycomb,Honeycomb,T.N. Bitzer,9789401158565,read,2012,,
hopscotch,Hopscotch,Julio Cortázar,,want,2014,,
house-made-of-dawn,House Made of Dawn,N. Scott Momaday,0613371496,read,1968,,
house-of-chains,House of Chains,Steven Erikson,0765315742,read,1998,,
house-of-suns,House of Suns,Alastair Reynolds,9781101061275,read,2008,,
household-tales,Household Tales,Jacob Grimm,1462282350,read,2012,,
housekeeping,Housekeeping,Marilynne Robinson,9781250060655,read,1980,,
houses-under-the-sea,Houses Under the Sea,Caitlín R. Kiernan,1596069201,want,2019,,
how-linux-works-what-every-superuser-should-know,How Linux Works: What Every Superuser Should Know,Brian Ward,9781718500402,read,2021,,
how-the-other-half-lives,How the Other Half Lives,Jacob August Riis,,read,1918,,
how-to-become-a-hacker,How to Become a Hacker,Eric S. Raymond,9781329063945,want,2015,,
how-to-design-programs,How to Design Programs,Matthias Felleisen et al.,0262062186,read,2001,,
how-to-hack-like-a-ghost,How To Hack Like a Ghost,Sparc Flow,9781718501270,read,2021,,
how-to-live,How to Live,Sarah Bakewell,,read,2010,,
how-to-read-and-why,How to Read and Why,Harold Bloom,9780684859071,read,2000,,
how-to-solve-it,How to Solve It,George Pólya,9781400828678,read,1945,,
how-to-suppress-womens-writing,How to Suppress Women's Writing,Joanna Russ,0292724454,read,1983,,
how-to-tell-the-birds-from-the-flowers-and-other-woodcuts,How to Tell the Birds from the Flowers and Other Woodcuts,Robert Williams Wood,,read,1917,,
howards-end,Howards End,E.M. Forster,9781627938006,read,1910,,
howl,Howl,Allen Ginsberg,1614275637,read,1956,,
howl-and-other-poems,Howl and Other Poems,Allen Ginsberg,9780141976464,read,1956,,
howls-moving-castle,Howl's Moving Castle,Diana Wynne Jones,0613371518,read,1986,,
hudibras,Hudibras,Samuel Butler,,read,2023,,
hudson-river-bracketed,Hudson River Bracketed,Edith Wharton,,read,1929,,
hugh-selwyn-mauberley,Hugh Selwyn Mauberley,Ezra Pound,,read,1920,,
human-action,Human Action,Ludwig von Mises,,read,1949,,
human-all-too-human,"Human, All Too Human",Friedrich Nietzsche,9783989886438,want,2014,,
human-condition,Human Condition,Hannah Arendt,9780226586748,read,1958,,
human-nature-and-conduct,Human Nature and Conduct,John Dewey,9780486143446,read,2012,,
humboldts-gift,Humboldt's Gift,Saul Bellow,9780143105473,read,1973,,
hunger,Hunger,Suzanne Collins,9780545229937,read,2009,,
hunting-for-hidden-gold,Hunting for Hidden Gold,Franklin W. Dixon,,read,1928,,
huntingtower,Huntingtower,John Buchan,,read,1927,,
hyperion,Hyperion,John Keats,,read,1899,,
hyperion-2,Hyperion,Dan Simmons,9780385263481,read,1989,,
i-am-a-cat,I Am a Cat,Natsume Sōseki,9781462922390,want,2025,,
i-am-a-strange-loop,I Am a Strange Loop,Douglas Hofstadter,9780465030781,read,2007,,
i-am-legend,I Am Legend,Richard Matheson,0575079002,read,1954,,
i-ching,I Ching,Book of Changes,9781400837083,want,2011,,
i-know-why-the-caged-bird-sings,I Know Why the Caged Bird Sings,Maya Angelou,9780553380019,read,1969,,
i-robot,"I, Robot",Isaac Asimov,9780553900330,read,1994,,
i-will-repay,I Will Repay,Emmuska Orczy,,read,2021,,
ice-candy-man,Ice-Candy-Man,Bapsi Sidhwa,,read,1988,,
idea-of-justice,Idea of Justice,Amartya Sen,9780674054578,want,2009,,
ideas-pertaining-to-a-pure-phenomenology,Ideas Pertaining to a Pure Phenomenology,Edmund Husserl,1402002564,read,1980,,
idoru,Idoru,William Gibson,9781101158050,read,1996,,
idylls-of-the-king,Idylls of the King,"Alfred, Lord Tennyson",9780141920139,read,1859,,
if-beale-street-could-talk,If Beale Street Could Talk,James Baldwin,9780307275936,read,1974,,
if-its-smart-its-vulnerable,"If It's Smart, It's Vulnerable",Mikko Hypponen,9781119895206,want,2022,,
if-on-a-winters-night-a-traveler,If on a winter's night a traveler,Italo Calvino,0156439611,read,1982,,
if-this-is-a-man,If This Is a Man,Primo Levi,9782806270238,read,2015,,
ill-fares-the-land,Ill Fares the Land,Tony Judt,9781101223703,want,2010,,
illness-as-metaphor,Illness as Metaphor,Susan Sontag,9781466853560,read,1978,,
illuminations,Illuminations,Walter Benjamin,9780547540658,want,2011,,
illuminations-2,Illuminations,Arthur Rimbaud,0918526892,read,1949,,
image-music-text,Image-Music-Text,Roland Barthes,9780374521363,read,1977,,
imaginary-maps,Imaginary Maps,Mahasweta Devi,0415904633,read,1994,,
imagined-communities,Imagined Communities,Benedict Anderson,0860915468,read,1983,,
imago,Imago,Octavia E. Butler,9781538765487,read,1989,,
imajica,Imajica,Clive Barker,9780061745010,read,1991,,
immortality,Immortality,Milan Kundera,0571209181,read,1992,,
impaler-epilogue,Impaler: Epilogue,William Harms,,read,2015,,
in-a-glass-darkly,In a Glass Darkly,Sheridan Le Fanu,,read,1996,,
in-custody,In Custody,Anita Desai,9788184003291,read,1984,,
in-memoriam-a-h-h,In Memoriam A.H.H.,"Alfred, Lord Tennyson",1544065280,want,2021,,
in-our-time,In Our Time,Ernest Hemingway,9781649742254,read,1925,,
in-praise-of-shadows,In Praise of Shadows,Jun'ichirō Tanizaki,,read,1991,,
in-search-of-lost-time,In Search of Lost Time,Marcel Proust,9780307755377,read,2010,,
in-search-of-the-castaways,In Search of the Castaways,Jules Verne,,read,1962,,
in-the-penal-colony,In the Penal Colony,Franz Kafka,9783963130144,want,2018,,
in-the-shadow-of-young-girls-in-flower,In the Shadow of Young Girls in Flower,Marcel Proust,9782322134335,read,2004,,
in-the-skin-of-a-lion,In the Skin of a Lion,Michael Ondaatje,9781551995427,read,1987,,
in-the-woods,In the Woods,Tana French,1478871938,want,2007,,
incidents-in-the-life-of-a-slave-girl,Incidents in the Life of a Slave Girl,Harriet A. Jacobs,9780674254695,read,2009,,
indemnity-only,Indemnity Only,Sara Paretsky,,read,1982,,
independent-people,Independent People,Halldór Laxness,9781101908273,read,1946,,
india-after-gandhi,India After Gandhi,Ramachandra Guha,9789395624602,want,2007,,
indian-fairy-tales,Indian Fairy Tales,Joseph Jacobs,9791041801916,read,2023,,
indian-summer,Indian Summer,William Dean Howells,1590171098,read,2004,,
indiana,Indiana,George Sand,,read,1832,,
indiscretions-of-archie,Indiscretions of Archie,P. G. Wodehouse,9781442915039,read,,,
industrial-cybersecurity,Industrial Cybersecurity,Pascal Ackerman,9781788395984,read,2017,,
infinite-jest,Infinite Jest,David Foster Wallace,9780316073851,read,1996,,
influx,Influx,Daniel Suarez,9780698148536,read,2014,,
information-security-economics-and-beyond,Information Security Economics and Beyond,Anderson and Moore,9783030195380,want,2019,,
information-theory-inference-and-learning-algorithms,"Information Theory, Inference, and Learning Algorithms",David MacKay,0521642981,read,2003,,
inspector-french-s-greatest-case,Inspector French's Greatest Case,Freeman Wills Crofts,9781479461400,read,2022,,
institutes-of-the-christian-religion,Institutes of the Christian Religion,John Calvin,9781598561685,want,2009,,
institutions-institutional-change-and-economic-performance,"Institutions, Institutional Change and Economic Performance",Douglass North,0521397340,read,1990,,
intelligence-in-war,Intelligence in War,John Keegan,9781400041930,read,2003,,
intention,Intention,Elizabeth Anscombe,9780674736535,read,2002,,
interview-with-the-vampire,Interview with the Vampire,Anne Rice,9780345337665,read,1976,,
introduction-to-algorithms,Introduction to Algorithms,Thomas H. Cormen,0262032937,read,1990,,
introduction-to-algorithms-2,Introduction to Algorithms,Thomas H. Cormen et al.,0262032937,read,2001,,
introduction-to-automata-theory-languages-and-computation,"Introduction to Automata Theory, Languages, and Computation","John Hopcroft, Rajeev Motwani, Jeffrey Ullman",,read,1979,,
introduction-to-metaphysics,Introduction to Metaphysics,Martin Heidegger,,read,1953,,
introduction-to-probability,Introduction to Probability,Dimitri Bertsekas & John Tsitsiklis,,want,2008,,
introduction-to-smooth-manifolds,Introduction to Smooth Manifolds,John Lee,9781441999825,want,2012,,
introduction-to-the-theory-of-computation,Introduction to the Theory of Computation,Michael Sipser,1133187811,read,2013,,
introduction-to-the-theory-of-numbers,Introduction to the Theory of Numbers,Hardy & Wright,9780199219865,read,1938,,
introduction-to-topology,Introduction to Topology,Bert Mendelson,0486663523,read,1962,,
inverted-world,Inverted World,Christopher Priest,9781590172698,read,1974,,
invisible-cities-2,Invisible Cities,Italo Calvino,0156453800,want,2010,,
invisible-man,Invisible Man,Ralph Ellison,9780307743992,read,1952,,
invitation-to-a-beheading,Invitation to a Beheading,Vladimir Nabokov,9780307787354,want,2011,,
iola-leroy,Iola Leroy,Frances Ellen Watkins Harper,,read,1893,,
ion,Ion,Plato,1518701930,read,1767,,
ios-application-security,iOS Application Security,David Thiel,9781593277543,read,2016,,
iphigenia-in-aulis,Iphigenia in Aulis,Euripides,9781107601161,read,1900,,
irish-fairy-tales,Irish Fairy Tales,W.B. Yeats,9781949846522,read,2022,,
iron-council,Iron Council,China Miéville,9780345458421,read,2004,,
island,Island,Aldous Huxley,9781443428583,read,1962,,
islands-in-the-net,Islands in the Net,Bruce Sterling,9781497686519,read,1977,,
istanbul,Istanbul,Orhan Pamuk,9781524732233,read,2003,,
it,It,Stephen King,9781982127794,read,1986,,
it-cant-happen-here,It Can't Happen Here,Sinclair Lewis,9780698152700,read,1935,,
it-doesn-t-take-a-hero,It Doesn't Take a Hero,H. Norman Schwarzkopf,,read,,,
itinerarium-mentis-in-deum,Itinerarium Mentis in Deum,Bonaventure,1619561530,read,1998,,
ivanhoe,Ivanhoe,Walter Scott,9780553902884,read,1800,,
ivanov,Ivanov,Anton Chekhov,9781559369473,read,2020,,
jacob-s-room,Jacob's Room,Virginia Woolf,9780192671837,read,2023,,
jacques-the-fatalist,Jacques the Fatalist,Denis Diderot,0192838741,want,2006,,
jade-city,Jade City,Fonda Lee,9780316440899,want,2017,,
jade-legacy,Jade Legacy,Fonda Lee,9780316440950,want,2021,,
jade-war,Jade War,Fonda Lee,9780316440936,want,2019,,
james,James,Percival Everett,9781555970659,want,2024,,
jane-eyre,Jane Eyre,Charlotte Bronte,9780244621599,read,1847,,
javascript-the-good-parts,JavaScript: The Good Parts,Douglas Crockford,9780596554873,read,2008,,
jazz,Jazz,Toni Morrison,9780679411673,read,1992,,
jean-christophe,Jean-Christophe,Romain Rolland,,read,1911,,
jeeves-stories,Jeeves Stories,P. G. Wodehouse,9780486433615,read,2013,,
jerusalem,Jerusalem,William Blake,,read,1804,,
jesus-son,Jesus' Son,Denis Johnson,9780312428747,read,1992,,
jnana-yoga,Jnana Yoga,Swami Vivekananda,,read,1972,,
joe-turners-come-and-gone,Joe Turner's Come and Gone,August Wilson,0573691428,read,1988,,
john-adams,John Adams,David McCullough,9781416575887,read,2001,,
john-hudson-s-how-to-survive-a-pandemic,John Hudson's How to Survive a Pandemic,John Hudson,9781529054507,read,2020,,
jonathan-strange-mr-norrell,Jonathan Strange & Mr Norrell,Susanna Clarke,0765356155,read,2001,,
joseph-and-his-brothers,Joseph and His Brothers,Thomas Mann,9781400040018,read,1938,,
joseph-andrews,Joseph Andrews,Henry Fielding,,read,1742,,
journey-to-the-center-of-the-earth,Journey to the Center of the Earth,Jules Verne,9783736804333,read,2000,,
journey-to-the-end-of-the-night,Journey to the End of the Night,Louis-Ferdinand Céline,,read,1932,,
journey-to-the-west,Journey to the West,Wu Cheng'en,9780226971407,read,1980,,
jude-the-obscure,Jude the Obscure,Thomas Hardy,9780553211917,read,1895,,
julius-caesar,Julius Caesar,William Shakespeare,9780486268767,read,1656,,
julys-people,July's People,Nadine Gordimer,9780747578383,read,1981,,
jungle-tales-of-tarzan,Jungle Tales of Tarzan,Edgar Rice Burroughs,,read,2025,,
jurassic-park,Jurassic Park,Michael Crichton,,read,,,
jurgen,Jurgen,Elmar Neveling,9781473529519,read,2016,,
just-and-unjust-wars,Just and Unjust Wars,Michael Walzer,,read,1977,,
just-so-stories,Just So Stories,Rudyard Kipling,9781625580535,read,2012,,
just-william,Just William,Richmal Crompton,9781774645789,read,2024,,
justice-whats-the-right-thing-to-do,Justice: What's the Right Thing to Do?,Michael Sandel,184614213X,read,2009,,
kaddish,Kaddish,Allen Ginsberg,1470174847,read,1961,,
kaddish-and-other-poems,Kaddish and Other Poems,Allen Ginsberg,,read,,,
kafka-on-the-shore,Kafka on the Shore,Haruki Murakami,9781400044818,read,2005,,
kai-lung-s-golden-hours,Kai Lung's Golden Hours,Ernest Bramah,,read,2019,,
kebra-nagast,Kebra Nagast,Various (Ethiopian),,read,,,
khaled,Khaled,"Editorial Editorial Atlantic, Khaled Hosseini",151431097X,read,2015,,
kicking-away-the-ladder,Kicking Away the Ladder,Ha-Joon Chang,9781843310273,read,2002,,
kid-legends,Kid Legends,David Stabler,9781683690542,read,2017,,
kidnapped,Kidnapped,Robert Louis Stevenson,,read,1921,,
kill-decision,Kill Decision,Daniel Suarez,9781101587331,read,2012,,
kill-process,Kill Process,William Hertling,,read,2016,,
kill-the-farm-boy,Kill the Farm Boy,Kevin Hearne & Delilah S. Dawson,,read,2018,,
kim,Kim,Rudyard Kipling,9780812971347,read,2004,,
kindred,Kindred,Octavia E. Butler,0807083690,read,1979,,
king-coal,King Coal,Upton Sinclair,,read,2023,,
king-lear,King Lear,William Shakespeare,9781476788579,read,1608,,
king-leopolds-ghost,King Leopold's Ghost,Adam Hochschild,,read,1998,,
king-solomon-s-mines,King Solomon's Mines,H. Rider Haggard,9780307431349,read,2007,,
kingpin,Kingpin,Kevin Poulsen,,read,,,
kings-of-the-wyld,Kings of the Wyld,Nicholas Eames,,read,,,
kipps,Kipps,H.G. Wells,103363946X,read,2018,,
kiss-of-the-fur-queen,Kiss of the Fur Queen,Tomson Highway,9780385674164,read,1998,,
kitchen,Kitchen,Banana Yoshimoto,0802142443,want,2006,,
klara-and-the-sun,Klara and the Sun,Kazuo Ishiguro,9780593318188,want,2019,,
knife-of-dreams,Knife of Dreams,Robert Jordan,,read,,,
knowledge-and-decisions,Knowledge and Decisions,Thomas Sowell,,read,1980,,
knowledge-and-human-interests,Knowledge and Human Interests,Jürgen Habermas,9780745694177,want,2015,,
kojiki,Kojiki,O no Yasumaro,1479326720,read,2016,,
kokoro,Kokoro,Natsume Sōseki,9781101195819,read,1914,,
krapps-last-tape,Krapp's Last Tape,Samuel Beckett,,read,1959,,
kristin-lavransdatter,Kristin Lavransdatter,Sigrid Undset,9780307789709,read,1920,,
kubla-khan,Kubla Khan,Samuel Taylor Coleridge,,read,1933,,
kudos,Kudos,Rachel Cusk,9780374279868,want,2018,,
kusamakura,Kusamakura,Natsume Soseki,9798897184712,read,2025,,
kushiels-dart,Kushiel's Dart,Jacqueline Carey,,read,2001,,
l-a-confidential,L.A. Confidential,James Ellroy,1407419056,read,1990,,
l-bas,Là-Bas,Joris-Karl Huysmans,0140447679,read,2002,,
l-lia,Lélia,George Sand,,read,1839,,
la-vita-nuova,La Vita Nuova,Dante Alighieri,138778465X,read,1876,,
labyrinths,Labyrinths,Jorge Luis Borges,,read,1962,,
lady-audley-s-secret,Lady Audley's Secret,Mary Elizabeth Braddon,9781775415503,read,2009,,
lady-chatterleys-lover,Lady Chatterley's Lover,D.H. Lawrence,9780593686478,read,1900,,
lady-into-fox,Lady Into Fox,David Garnett,,read,1924,,
lady-macbeth-of-mtsensk,Lady Macbeth of Mtsensk,Nikolai Leskov,9788583865810,want,2017,,
lady-susan,Lady Susan,Jane Austen,1542957621,read,1925,,
lady-windermeres-fan,Lady Windermere's Fan,Oscar Wilde,9788726598834,read,1890,,
lagoon,Lagoon,Nnedi Okorafor,9781481440899,want,2014,,
lais,Lais,Marie de France,0140447598,read,1999,,
lament-for-ignacio-s-nchez-mej-as,Lament for Ignacio Sánchez Mejías,Federico García Lorca,9781410350701,read,1987,,
language-truth-and-logic,"Language, Truth and Logic",A.J. Ayer,9780486200101,read,1960,,
last-and-first-men,Last and First Men,Olaf Stapledon,,read,1930,,
last-argument-of-kings,Last Argument of Kings,Joe Abercrombie,9780575087873,want,2008,,
last-evenings-on-earth,Last Evenings on Earth,Roberto Bolaño,9780811220545,want,2006,,
latex-a-document-preparation-system,LaTeX: A Document Preparation System,Leslie Lamport,8177584146,read,1994,,
laughing-boy,Laughing Boy,Oliver La Farge,,read,2025,,
lavengro,Lavengro,George Borrow,,read,1911,,
lavinia,Lavinia,Ursula K. Le Guin,0156033682,want,2008,,
laws,Laws,Plato,9780226829951,read,1921,,
lay-down-your-arms,Lay Down Your Arms,Bertha von Suttner,,read,1892,,
layla-and-majnun,Layla and Majnun,Nizami Ganjavi,0930872525,read,1979,,
le-cid,Le Cid,Pierre Corneille,,read,1636,,
le-morte-darthur,Le Morte d'Arthur,Thomas Malory,1978003870,read,1557,,
leave-it-to-psmith,Leave It to Psmith,P. G. Wodehouse,9781649741271,read,2021,,
leaves-of-grass,Leaves of Grass,Walt Whitman,,read,1855,,
leaving-the-atocha-station,Leaving the Atocha Station,Ben Lerner,1566892740,want,2011,,
lectures-on-the-philosophy-of-history,Lectures on the Philosophy of History,G.W.F. Hegel,,read,1995,,
left-hand-of-darkness,Left Hand of Darkness,Ursula K. Le Guin,9781101665398,read,1969,,
legacy-of-ashes,Legacy of Ashes,Tim Weiner,9780307389008,want,2007,,
legends-of-vancouver,Legends of Vancouver,E. Pauline Johnson,,read,1911,,
leo-africanus,Leo Africanus,Amin Maalouf,9798765194119,read,1998,,
les-fleurs-du-mal,Les Fleurs du mal,Charles Baudelaire,9781678129668,read,1855,,
les-mis-rables,Les Misérables,Victor Hugo,9786052945834,read,1862,,
let-the-right-one-in,Let the Right One In,John Ajvide Lindqvist,9781429924467,read,2004,,
letter-to-menoeceus,Letter to Menoeceus,Epicurus,1537308874,want,2016,,
letters-from-a-stoic,Letters from a Stoic,Seneca,9780486811246,read,1969,,
letters-of-two-brides,Letters of Two Brides,Honoré de Balzac,,read,2022,,
letters-to-a-young-contrarian,Letters to a Young Contrarian,Christopher Hitchens,0465030335,read,2001,,
letters-to-a-young-poet,Letters to a Young Poet,Rainer Maria Rilke,9781577311553,read,1656,,
letters-written-during-a-short-residence-in-sweden-norway-and-denmark,"Letters Written During a Short Residence in Sweden, Norway, and Denmark",Mary Wollstonecraft,,read,2022,,
leviathan-2,Leviathan,Thomas Hobbes,0760755930,read,1651,,
leviathan-wakes,Leviathan Wakes,James S.A. Corey,9780316134675,read,2009,,
liars-and-outliers,Liars and Outliers,Bruce Schneier,9781118239018,want,2012,,
libation-bearers,Libation Bearers,Aeschylus,,read,2016,,
liberalism,Liberalism,Thomas Sowell,9781035309221,read,2017,,
liberalism-and-the-limits-of-justice,Liberalism and the Limits of Justice,Michael Sandel,0521567416,read,1982,,
